Designator,Mid X,Mid Y,Layer,Rotation
BATTERY,13.08,-12.22,Top,180.0
C1,30.35,-3.38,Top,270.0
C2,32.38,-3.43,Top,270.0
C3,21.16, 2.59,Top,90.0
C4,28.63, 0.97,Top,0.0
C5,28.63, 3.00,Top,0.0
C6,25.30,-7.95,Top,270.0
C7,19.13, 2.36,Top,90.0
C8, 9.04,10.46,Top,270.0
C9,24.69, 7.04,Top,180.0
C10,15.49, 4.29,Top,90.0
C11,16.97, 3.81,Top,90.0
C12,13.74,-0.33,Top,270.0
C13,24.69, 9.07,Top,180.0
C14,34.72,-5.64,Top,180.0
CH, 6.73, 0.00,Top,180.0
D1, 8.89, 8.61,Top,180.0
D2,18.57, 7.92,Top,90.0
D3,23.62, 1.45,Top,180.0
D4,11.48,-1.63,Top,180.0
D5, 3.94,-11.94,Top,180.0
D6, 1.40,-11.94,Top,0.0
D7, 6.48,-11.94,Top,0.0
D8, 1.40,11.94,Top,0.0
D9, 3.94,11.94,Top,180.0
D10, 6.48,11.94,Top,0.0
F1,23.70,-3.35,Top,90.0
F2,25.25, 3.86,Top,270.0
I2C_PULLUPS,31.88, 3.99,Top,90.0
IC1,28.27, 5.94,Top,270.0
IC3,12.07, 3.10,Top,90.0
IC4,32.66, 8.41,Top,90.0
IC5,52.32, 0.00,Top,270.0
J3,14.10, 9.17,Top,0.0
J4, 6.73, 6.35,Top,270.0
J5,37.85, 0.00,Top,90.0
J6, 6.73,-6.35,Top,270.0
LDO,27.00,-2.82,Top,180.0
LED_IO45,34.72,-7.39,Top,90.0
Q1,21.00,-7.98,Top,180.0
Q2,20.73,-3.02,Top,90.0
R1,19.20,-7.98,Top,90.0
R2,23.85,-7.95,Top,270.0
R3,22.81,-7.95,Top,270.0
R4, 1.27, 0.00,Top,90.0
R5, 2.54, 0.00,Top,90.0
R6,16.94, 0.56,Top,90.0
R7,14.78,-0.36,Top,90.0
R8,10.08,10.46,Top,270.0
R9, 8.00,10.92,Top,90.0
R10,14.10,-2.45,Top,180.0
R11,19.56,-0.43,Top,180.0
R12,19.02,-4.62,Top,270.0
R13,31.67, 1.57,Top,270.0
R14,32.72, 1.57,Top,270.0
R15,36.25, 8.48,Top,270.0
R16, 5.08, 0.00,Top,270.0
R17, 3.81, 0.00,Top,270.0
R19,37.49, 8.48,Top,90.0
RESET,29.39,-8.26,Top,180.0
U1,16.94,-1.73,Top,90.0
