Designator,Mid X,Mid Y,Layer,Rotation
BATTERY,13.08,-12.22,Top,180.0
C1,34.80, 6.43,Top,90.0
C2,36.83, 6.43,Top,90.0
C3,34.29, 9.02,Top,270.0
C4,30.48,-4.19,Top,0.0
C5,30.35, 1.52,Top,180.0
C6,25.30,-7.95,Top,270.0
C7,21.72, 2.79,Top,90.0
C8, 9.12,10.46,Top,270.0
C9,23.75, 2.79,Top,90.0
C10,15.24,-0.89,Top,0.0
C11,14.73,-2.41,Top,0.0
C12,12.07, 1.14,Top,270.0
C13,26.62, 6.05,Top,0.0
C14,34.72,-5.64,Top,180.0
C16,59.05,10.79,Top,270.0
CHARGING, 0.89, 0.00,Top,180.0
D3,24.51,-0.08,Top,180.0
D5, 4.19,-11.94,Top,180.0
D6, 1.40,-11.94,Top,0.0
D7, 6.73,-11.94,Top,0.0
D8, 1.40,11.94,Top,0.0
D9, 4.11,11.94,Top,180.0
D10, 6.65,11.94,Top,0.0
IC1,26.54, 3.18,Top,90.0
IC2,30.86,-1.40,Top,0.0
IC3,15.29, 2.54,Top,0.0
IC5,52.32, 0.00,Top,270.0
IO8,30.66, 8.26,Top,0.0
J3,14.10, 9.17,Top,0.0
J4, 0.00, 6.35,Top,270.0
J5,37.85, 0.00,Top,90.0
J6, 0.00,-6.35,Top,270.0
LED_IO45,34.72,-7.39,Top,90.0
Q1,21.00,-7.98,Top,180.0
Q2,26.29,-2.92,Top,90.0
Q3, 9.53, 0.89,Top,0.0
Q4, 9.27,-2.03,Top,0.0
Q5, 9.53, 6.73,Top,0.0
Q6, 9.53, 3.81,Top,0.0
R1,19.20,-7.98,Top,90.0
R2,23.85,-7.95,Top,270.0
R3,22.81,-7.95,Top,270.0
R4, 2.62, 0.05,Top,90.0
R5, 3.66, 0.05,Top,90.0
R6,22.99, 7.75,Top,270.0
R7,21.97, 7.75,Top,270.0
R8,10.16,10.46,Top,270.0
R9, 8.08,10.92,Top,90.0
R10,19.43,-3.30,Top,180.0
R11,24.64,-5.46,Top,180.0
R12,26.80,-5.46,Top,0.0
R13,19.18, 7.75,Top,90.0
R14,18.03, 7.11,Top,90.0
R15, 7.77, 0.86,Top,90.0
R16, 5.84, 0.03,Top,270.0
R17, 4.80, 0.03,Top,270.0
R18,12.07,-1.02,Top,270.0
R19, 9.53, 8.89,Top,0.0
R20,11.30, 6.48,Top,270.0
R21,29.57, 3.38,Top,0.0
R22,35.31, 9.02,Top,90.0
RESET,30.66,-8.26,Top,180.0
U1,20.88,-0.71,Top,90.0
ADC, 9.42,10.54,Bottom,180.0
