Comment,Designator,Footprint,LCSC Part #
1.3M,R9,R0402,
1M,R8,R0402,
1k65,R6,R0402,
1uF,C7,C0603,
3k3,R7,R0402,
4.7k,R13 R14,R0402,
5.1k,R4 R5 R16 R17,R0402,
10k,R1 R2 R3 R11,R0402,
22uF,C4 C5 C9 C10 C13 C15 C16,C0603,
47uF,C2,C0603,
100k,R12,R0402,
100n,C11 C12,C0402,
100nF,C1,C0603,
100nF,C6 C8 C14,C0402,
100uF,C3,C1206,
330,R10,R0402,
AO3401,Q2,SOT23,
AP2191WG-7,IC1,SOT25,C141321
BAT60B,D1 D2 D3,SOD323-R,C514095
CH9102F,IC3,QFN24-4X4,
EN button,RESET,TS1088R02026,C455280
ESP32-S3-WROOM-1-N16,IC5,ESP32S3WROOM1N16,
HT7833,LDO,SOT89-BCE,C50936
JST-PH-2/90SMD,BATTERY,S2B-PH-SM4,C47647
LESD5D5.0CT1G,D5 D6 D7 D8 D9 D10,LESD5D50CT1G,
ME6211C33M5G,IC4,SOT23-5,
MMDT3904,Q1,SC70-6,C268586
POLIFUSE0500805L,F1 F2,0805L,C66452
RED,CH,CHIP-LED0603,C2286
SK6812-EC20,LED_IO45,SK6812EC20,
TP4054,U1,SOT-23-5,C32574
USB-C_2-16PIN,J4 J6,USBC_USB-C-16P-5,C2837092
USUP_4P_V,J3,1X04_1MM_RA,C145956
USUP_SPI_CONNECTOR_VERT,J5,1X06_1MM_RA_VERT,C145963
